algoritmo;cenario;tamanho;repeticao;tempo_ms;comparacoes;trocas
Shell Sort;crescente;20000;1;0.570;165243;0
Shell Sort;crescente;20000;2;0.540;165243;0
Shell Sort;crescente;20000;3;0.583;165243;0
Shell Sort;crescente;20000;4;0.536;165243;0
Shell Sort;crescente;20000;5;0.542;165243;0
Shell Sort;crescente;20000;6;0.549;165243;0
Shell Sort;crescente;20000;7;0.538;165243;0
Shell Sort;crescente;20000;8;0.554;165243;0
Shell Sort;crescente;20000;9;0.538;165243;0
Shell Sort;crescente;20000;10;0.538;165243;0
Shell Sort;crescente;20000;11;0.581;165243;0
Shell Sort;decrescente;20000;1;1.143;261067;113812
Shell Sort;decrescente;20000;2;0.901;261067;113812
Shell Sort;decrescente;20000;3;1.078;261067;113812
Shell Sort;decrescente;20000;4;0.922;261067;113812
Shell Sort;decrescente;20000;5;0.876;261067;113812
Shell Sort;decrescente;20000;6;0.948;261067;113812
Shell Sort;decrescente;20000;7;0.882;261067;113812
Shell Sort;decrescente;20000;8;0.897;261067;113812
Shell Sort;decrescente;20000;9;0.953;261067;113812
Shell Sort;decrescente;20000;10;0.938;261067;113812
Shell Sort;decrescente;20000;11;0.921;261067;113812
Shell Sort;aleatorio;20000;1;3.126;541253;385604
Shell Sort;aleatorio;20000;2;2.936;561830;406187
Shell Sort;aleatorio;20000;3;2.863;543344;387667
Shell Sort;aleatorio;20000;4;2.945;556144;400635
Shell Sort;aleatorio;20000;5;3.046;515212;359525
Shell Sort;aleatorio;20000;6;3.032;558894;403334
Shell Sort;aleatorio;20000;7;2.879;544150;388519
Shell Sort;aleatorio;20000;8;2.962;569895;414235
Shell Sort;aleatorio;20000;9;2.882;529409;373828
Shell Sort;aleatorio;20000;10;3.175;552187;396319
Shell Sort;aleatorio;20000;11;3.044;555669;399957
Shell Sort;crescente;40000;1;1.518;355719;0
Shell Sort;crescente;40000;2;1.223;355719;0
Shell Sort;crescente;40000;3;1.227;355719;0
Shell Sort;crescente;40000;4;1.319;355719;0
Shell Sort;crescente;40000;5;1.366;355719;0
Shell Sort;crescente;40000;6;1.283;355719;0
Shell Sort;crescente;40000;7;1.243;355719;0
Shell Sort;crescente;40000;8;1.232;355719;0
Shell Sort;crescente;40000;9;1.232;355719;0
