algoritmo;cenario;tamanho;repeticao;tempo_ms;comparacoes;trocas
Shell Sort;crescente;40000;5;0.771;355719;0
Shell Sort;crescente;40000;6;0.845;355719;0
Shell Sort;crescente;40000;7;0.782;355719;0
Shell Sort;crescente;40000;8;0.758;355719;0
Shell Sort;crescente;40000;9;0.764;355719;0
Shell Sort;crescente;40000;10;0.766;355719;0
Shell Sort;crescente;40000;11;0.815;355719;0
Shell Sort;decrescente;40000;1;1.369;559283;221344
Shell Sort;decrescente;40000;2;1.349;559283;221344
Shell Sort;decrescente;40000;3;1.394;559283;221344
Shell Sort;decrescente;40000;4;1.218;559283;221344
Shell Sort;decrescente;40000;5;1.348;559283;221344
Shell Sort;decrescente;40000;6;1.230;559283;221344
Shell Sort;decrescente;40000;7;1.332;559283;221344
Shell Sort;decrescente;40000;8;1.221;559283;221344
Shell Sort;decrescente;40000;9;1.229;559283;221344
Shell Sort;decrescente;40000;10;1.300;559283;221344
Shell Sort;decrescente;40000;11;1.343;559283;221344
Shell Sort;aleatorio;40000;1;5.879;1222451;883134
Shell Sort;aleatorio;40000;2;6.153;1266225;926850
Shell Sort;aleatorio;40000;3;5.569;1273702;934352
Shell Sort;aleatorio;40000;4;5.703;1317571;978092
Shell Sort;aleatorio;40000;5;6.013;1338569;999327
Shell Sort;aleatorio;40000;6;6.161;1298858;959729
Shell Sort;aleatorio;40000;7;6.186;1248367;908986
Shell Sort;aleatorio;40000;8;6.116;1280252;940975
Shell Sort;aleatorio;40000;9;5.860;1279334;940095
Shell Sort;aleatorio;40000;10;5.865;1238115;898606
Shell Sort;aleatorio;40000;11;5.717;1317772;978444
Shell Sort;crescente;60000;1;1.306;555719;0
Shell Sort;crescente;60000;2;1.283;555719;0
Shell Sort;crescente;60000;3;1.203;555719;0
Shell Sort;crescente;60000;4;1.195;555719;0
Shell Sort;crescente;60000;5;2.794;555719;0
Shell Sort;crescente;60000;6;2.027;555719;0
Shell Sort;crescente;60000;7;2.127;555719;0
Shell Sort;crescente;60000;8;1.838;555719;0
Shell Sort;crescente;60000;9;1.211;555719;0
Shell Sort;crescente;60000;10;1.226;555719;0
Shell Sort;crescente;60000;11;1.206;555719;0
Shell Sort;decrescente;60000;1;2.210;863734;361978
Shell Sort;decrescente;60000;2;1.998;863734;361978
Shell Sort;decrescente;60000;3;1.932;863734;361978
Shell Sort;decrescente;60000;4;1.961;863734;361978
Shell Sort;decrescente;60000;5;2.153;863734;361978
Shell Sort;decrescente;60000;6;2.108;863734;361978
Shell Sort;decrescente;60000;7;2.011;863734;361978
Shell Sort;decrescente;60000;8;1.911;863734;361978
Shell Sort;decrescente;60000;9;1.894;863734;361978
Shell Sort;decrescente;60000;10;1.890;863734;361978
Shell Sort;decrescente;60000;11;2.004;863734;361978
Shell Sort;aleatorio;60000;1;11.201;2293539;1766768
Shell Sort;aleatorio;60000;2;11.223;2064893;1538273
Shell Sort;aleatorio;60000;3;8.882;2077032;1550090
Shell Sort;aleatorio;60000;4;9.238;2076672;1550005
Shell Sort;aleatorio;60000;5;9.448;2023348;1496470
Shell Sort;aleatorio;60000;6;9.140;2009942;1483137
Shell Sort;aleatorio;60000;7;9.784;2095180;1568360
Shell Sort;aleatorio;60000;8;9.045;2042371;1515556
Shell Sort;aleatorio;60000;9;9.626;2180268;1653434
Shell Sort;aleatorio;60000;10;9.288;2261665;1734821
Shell Sort;aleatorio;60000;11;9.791;2114658;1587808

ESTATISTICAS (descartadas as 1 primeiras repeticoes)
algoritmo;cenario;tamanho;media_tempo_ms;desvio_tempo_ms;media_comparacoes;media_trocas
Shell Sort;crescente;20000;0.462;0.126;165243.00;0.00
Shell Sort;decrescente;20000;0.792;0.207;261067.00;113812.00
Shell Sort;aleatorio;20000;2.615;0.131;554809.80;399177.60
Shell Sort;crescente;40000;0.797;0.031;355719.00;0.00
Shell Sort;decrescente;40000;1.296;0.063;559283.00;221344.00
Shell Sort;aleatorio;40000;5.934;0.211;1285876.50;946545.60
Shell Sort;crescente;60000;1.611;0.530;555719.00;0.00
Shell Sort;decrescente;60000;1.986;0.084;863734.00;361978.00
Shell Sort;aleatorio;60000;9.546;0.630;2094602.90;1567795.40
