algoritmo;cenario;tamanho;repeticao;tempo_ms;comparacoes;trocas
Shell Sort;crescente;20000;1;0.754;165243;0
Shell Sort;crescente;20000;2;0.766;165243;0
Shell Sort;crescente;20000;3;0.592;165243;0
Shell Sort;crescente;20000;4;0.542;165243;0
Shell Sort;crescente;20000;5;0.442;165243;0
Shell Sort;crescente;20000;6;0.408;165243;0
Shell Sort;crescente;20000;7;0.371;165243;0
Shell Sort;crescente;20000;8;0.352;165243;0
Shell Sort;crescente;20000;9;0.409;165243;0
Shell Sort;crescente;20000;10;0.363;165243;0
Shell Sort;crescente;20000;11;0.378;165243;0
Shell Sort;decrescente;20000;1;1.064;261067;113812
Shell Sort;decrescente;20000;2;1.031;261067;113812
Shell Sort;decrescente;20000;3;1.272;261067;113812
Shell Sort;decrescente;20000;4;0.825;261067;113812
Shell Sort;decrescente;20000;5;0.697;261067;113812
Shell Sort;decrescente;20000;6;0.860;261067;113812
Shell Sort;decrescente;20000;7;0.745;261067;113812
Shell Sort;decrescente;20000;8;0.698;261067;113812
Shell Sort;decrescente;20000;9;0.619;261067;113812
Shell Sort;decrescente;20000;10;0.572;261067;113812
Shell Sort;decrescente;20000;11;0.600;261067;113812
Shell Sort;aleatorio;20000;1;2.657;543254;387650
Shell Sort;aleatorio;20000;2;2.435;544973;389415
Shell Sort;aleatorio;20000;3;2.780;574325;418728
Shell Sort;aleatorio;20000;4;2.657;551532;395910
Shell Sort;aleatorio;20000;5;2.522;576437;420648
Shell Sort;aleatorio;20000;6;2.505;526766;371113
Shell Sort;aleatorio;20000;7;2.421;540442;384826
Shell Sort;aleatorio;20000;8;2.797;541203;385695
Shell Sort;aleatorio;20000;9;2.631;560014;404312
Shell Sort;aleatorio;20000;10;2.650;551799;396193
Shell Sort;aleatorio;20000;11;2.749;580607;424936
Shell Sort;crescente;40000;1;0.825;355719;0
Shell Sort;crescente;40000;2;0.824;355719;0
Shell Sort;crescente;40000;3;0.823;355719;0
Shell Sort;crescente;40000;4;0.828;355719;0
