algoritmo;cenario;tamanho;repeticao;tempo_ms;comparacoes;trocas
Shell Sort;crescente;20000;1;0.578;165243;0
Shell Sort;crescente;20000;2;0.568;165243;0
Shell Sort;crescente;20000;3;0.561;165243;0
Shell Sort;crescente;20000;4;0.561;165243;0
Shell Sort;crescente;20000;5;0.560;165243;0
Shell Sort;crescente;20000;6;0.571;165243;0
Shell Sort;crescente;20000;7;0.568;165243;0
Shell Sort;crescente;20000;8;0.573;165243;0
Shell Sort;crescente;20000;9;0.563;165243;0
Shell Sort;crescente;20000;10;0.563;165243;0
Shell Sort;crescente;20000;11;0.627;165243;0
Shell Sort;decrescente;20000;1;1.159;261067;113812
Shell Sort;decrescente;20000;2;1.013;261067;113812
Shell Sort;decrescente;20000;3;0.932;261067;113812
Shell Sort;decrescente;20000;4;0.975;261067;113812
Shell Sort;decrescente;20000;5;1.021;261067;113812
Shell Sort;decrescente;20000;6;0.978;261067;113812
Shell Sort;decrescente;20000;7;1.120;261067;113812
Shell Sort;decrescente;20000;8;1.033;261067;113812
Shell Sort;decrescente;20000;9;1.022;261067;113812
Shell Sort;decrescente;20000;10;1.029;261067;113812
Shell Sort;decrescente;20000;11;1.065;261067;113812
Shell Sort;aleatorio;20000;1;3.303;542397;386771
Shell Sort;aleatorio;20000;2;2.973;522151;366502
Shell Sort;aleatorio;20000;3;3.082;557319;401697
Shell Sort;aleatorio;20000;4;3.576;535599;379981
Shell Sort;aleatorio;20000;5;3.624;557491;401857
Shell Sort;aleatorio;20000;6;3.204;534648;379117
Shell Sort;aleatorio;20000;7;2.915;525215;369610
Shell Sort;aleatorio;20000;8;3.074;539267;383555
Shell Sort;aleatorio;20000;9;3.299;561106;405387
Shell Sort;aleatorio;20000;10;3.300;555867;400148
Shell Sort;aleatorio;20000;11;3.117;516531;360828
Shell Sort;crescente;40000;1;1.501;355719;0
Shell Sort;crescente;40000;2;1.419;355719;0
Shell Sort;crescente;40000;3;1.408;355719;0
Shell Sort;crescente;40000;4;1.371;355719;0
Shell Sort;crescente;40000;5;1.334;355719;0
Shell Sort;crescente;40000;6;1.322;355719;0
Shell Sort;crescente;40000;7;1.375;355719;0
Shell Sort;crescente;40000;8;1.379;355719;0
Shell Sort;crescente;40000;9;1.415;355719;0
Shell Sort;crescente;40000;10;1.415;355719;0
Shell Sort;crescente;40000;11;1.408;355719;0
Shell Sort;decrescente;40000;1;2.359;559283;221344
Shell Sort;decrescente;40000;2;2.245;559283;221344
Shell Sort;decrescente;40000;3;2.186;559283;221344
Shell Sort;decrescente;40000;4;2.167;559283;221344
Shell Sort;decrescente;40000;5;2.129;559283;221344
Shell Sort;decrescente;40000;6;2.289;559283;221344
Shell Sort;decrescente;40000;7;2.166;559283;221344
Shell Sort;decrescente;40000;8;2.176;559283;221344
Shell Sort;decrescente;40000;9;2.212;559283;221344
Shell Sort;decrescente;40000;10;2.173;559283;221344
Shell Sort;decrescente;40000;11;2.165;559283;221344
Shell Sort;aleatorio;40000;1;7.045;1178398;839068
Shell Sort;aleatorio;40000;2;8.292;1265231;925918
Shell Sort;aleatorio;40000;3;7.341;1309607;970262
Shell Sort;aleatorio;40000;4;7.070;1266687;927483
Shell Sort;aleatorio;40000;5;6.662;1201279;861960
Shell Sort;aleatorio;40000;6;7.410;1322174;982780
Shell Sort;aleatorio;40000;7;6.797;1287047;947817
Shell Sort;aleatorio;40000;8;6.932;1250082;910812
Shell Sort;aleatorio;40000;9;6.632;1212306;872995
Shell Sort;aleatorio;40000;10;7.191;1252432;913040
Shell Sort;aleatorio;40000;11;6.950;1348166;1008825
Shell Sort;crescente;60000;1;2.219;555719;0
Shell Sort;crescente;60000;2;2.078;555719;0
Shell Sort;crescente;60000;3;2.112;555719;0
Shell Sort;crescente;60000;4;2.216;555719;0
Shell Sort;crescente;60000;5;2.033;555719;0
Shell Sort;crescente;60000;6;2.189;555719;0
Shell Sort;crescente;60000;7;2.145;555719;0
Shell Sort;crescente;60000;8;1.963;555719;0
Shell Sort;crescente;60000;9;2.093;555719;0
Shell Sort;crescente;60000;10;2.009;555719;0
Shell Sort;crescente;60000;11;2.250;555719;0
Shell Sort;decrescente;60000;1;3.585;863734;361978
Shell Sort;decrescente;60000;2;3.363;863734;361978
Shell Sort;decrescente;60000;3;3.486;863734;361978
Shell Sort;decrescente;60000;4;3.388;863734;361978
Shell Sort;decrescente;60000;5;4.842;863734;361978
Shell Sort;decrescente;60000;6;4.910;863734;361978
Shell Sort;decrescente;60000;7;5.628;863734;361978
