algoritmo;cenario;tamanho;repeticao;tempo_ms;comparacoes;trocas
Cycle Sort;crescente;20000;1;386.800;199990000;0
Cycle Sort;crescente;20000;2;386.403;199990000;0
Cycle Sort;crescente;20000;3;385.050;199990000;0
Cycle Sort;crescente;20000;4;385.713;199990000;0
Cycle Sort;crescente;20000;5;386.348;199990000;0
Cycle Sort;crescente;20000;6;391.075;199990000;0
Cycle Sort;crescente;20000;7;380.010;199990000;0
Cycle Sort;crescente;20000;8;373.061;199990000;0
Cycle Sort;crescente;20000;9;374.864;199990000;0
Cycle Sort;crescente;20000;10;373.182;199990000;0
Cycle Sort;crescente;20000;11;383.428;199990000;0
Cycle Sort;decrescente;20000;1;664.534;349985000;20000
Cycle Sort;decrescente;20000;2;693.232;349985000;20000
Cycle Sort;decrescente;20000;3;653.355;349985000;20000
Cycle Sort;decrescente;20000;4;655.725;349985000;20000
Cycle Sort;decrescente;20000;5;656.145;349985000;20000
Cycle Sort;decrescente;20000;6;689.594;349985000;20000
Cycle Sort;decrescente;20000;7;680.090;349985000;20000
Cycle Sort;decrescente;20000;8;683.848;349985000;20000
Cycle Sort;decrescente;20000;9;683.578;349985000;20000
Cycle Sort;decrescente;20000;10;672.920;349985000;20000
Cycle Sort;decrescente;20000;11;682.578;349985000;20000
Cycle Sort;aleatorio;20000;1;1568.634;599458270;19997
Cycle Sort;aleatorio;20000;2;1539.096;599694308;19999
Cycle Sort;aleatorio;20000;3;1536.195;599596934;20000
Cycle Sort;aleatorio;20000;4;1531.514;599763287;19999
Cycle Sort;aleatorio;20000;5;1443.368;599771480;19999
Cycle Sort;aleatorio;20000;6;1404.459;599653065;20000
Cycle Sort;aleatorio;20000;7;1385.642;599723522;19998
Cycle Sort;aleatorio;20000;8;1500.956;599612635;20000
Cycle Sort;aleatorio;20000;9;1492.619;599748895;20000
Cycle Sort;aleatorio;20000;10;1511.521;599504940;19998
Cycle Sort;aleatorio;20000;11;1403.241;599504450;19998
Cycle Sort;crescente;40000;1;1448.081;799980000;0
Cycle Sort;crescente;40000;2;1411.249;799980000;0
Cycle Sort;crescente;40000;3;1530.062;799980000;0
Cycle Sort;crescente;40000;4;1539.651;799980000;0
Cycle Sort;crescente;40000;5;1515.607;799980000;0
Cycle Sort;crescente;40000;6;1518.617;799980000;0
Cycle Sort;crescente;40000;7;1509.880;799980000;0
Cycle Sort;crescente;40000;8;1507.936;799980000;0
Cycle Sort;crescente;40000;9;1502.999;799980000;0
Cycle Sort;crescente;40000;10;1532.746;799980000;0
Cycle Sort;crescente;40000;11;1516.522;799980000;0
Cycle Sort;decrescente;40000;1;2711.163;1399970000;40000
Cycle Sort;decrescente;40000;2;2668.318;1399970000;40000
Cycle Sort;decrescente;40000;3;2656.151;1399970000;40000
Cycle Sort;decrescente;40000;4;2630.601;1399970000;40000
Cycle Sort;decrescente;40000;5;2651.638;1399970000;40000
Cycle Sort;decrescente;40000;6;2652.453;1399970000;40000
Cycle Sort;decrescente;40000;7;2605.915;1399970000;40000
Cycle Sort;decrescente;40000;8;2682.155;1399970000;40000
Cycle Sort;decrescente;40000;9;2673.790;1399970000;40000
Cycle Sort;decrescente;40000;10;2656.618;1399970000;40000
Cycle Sort;decrescente;40000;11;2684.848;1399970000;40000
Cycle Sort;aleatorio;40000;1;6111.498;2399273371;39999
Cycle Sort;aleatorio;40000;2;6198.499;2399492775;39998
Cycle Sort;aleatorio;40000;3;5959.012;2399293452;39997
Cycle Sort;aleatorio;40000;4;5525.623;2399474877;39998
Cycle Sort;aleatorio;40000;5;5879.926;2399104588;39998
Cycle Sort;aleatorio;40000;6;5909.820;2398510649;39999
Cycle Sort;aleatorio;40000;7;5800.634;2398865905;39998
Cycle Sort;aleatorio;40000;8;6150.377;2399082344;39998
Cycle Sort;aleatorio;40000;9;6143.159;2399358025;39999
Cycle Sort;aleatorio;40000;10;6357.728;2398917535;39997
Cycle Sort;aleatorio;40000;11;6103.477;2399737499;39999
Cycle Sort;crescente;60000;1;3548.519;1799970000;0
Cycle Sort;crescente;60000;2;3488.794;1799970000;0
Cycle Sort;crescente;60000;3;3500.593;1799970000;0
Cycle Sort;crescente;60000;4;3491.545;1799970000;0
Cycle Sort;crescente;60000;5;3486.044;1799970000;0
Cycle Sort;crescente;60000;6;3511.494;1799970000;0
Cycle Sort;crescente;60000;7;3477.358;1799970000;0
Cycle Sort;crescente;60000;8;3470.867;1799970000;0
Cycle Sort;crescente;60000;9;3486.238;1799970000;0
Cycle Sort;crescente;60000;10;3524.432;1799970000;0
Cycle Sort;crescente;60000;11;3655.105;1799970000;0
Cycle Sort;decrescente;60000;1;6230.652;3149955000;60000
Cycle Sort;decrescente;60000;2;5843.969;3149955000;60000
Cycle Sort;decrescente;60000;3;5802.620;3149955000;60000
Cycle Sort;decrescente;60000;4;5948.361;3149955000;60000
Cycle Sort;decrescente;60000;5;6087.602;3149955000;60000
Cycle Sort;decrescente;60000;6;6113.265;3149955000;60000
Cycle Sort;decrescente;60000;7;6123.599;3149955000;60000
Cycle Sort;decrescente;60000;8;6117.169;3149955000;60000
Cycle Sort;decrescente;60000;9;6324.845;3149955000;60000
Cycle Sort;decrescente;60000;10;6163.928;3149955000;60000
Cycle Sort;decrescente;60000;11;6157.543;3149955000;60000
Cycle Sort;aleatorio;60000;1;13903.452;5398912995;59997
Cycle Sort;aleatorio;60000;2;14207.924;5398491602;60000
Cycle Sort;aleatorio;60000;3;13674.929;5398568312;59998
Cycle Sort;aleatorio;60000;4;13979.877;5398452878;60000
Cycle Sort;aleatorio;60000;5;13678.248;5398287332;59998
Cycle Sort;aleatorio;60000;6;13108.127;5398701602;59998
Cycle Sort;aleatorio;60000;7;13381.475;5399156800;60000
Cycle Sort;aleatorio;60000;8;13720.688;5399109358;60000
Cycle Sort;aleatorio;60000;9;13760.985;5399151064;60000
Cycle Sort;aleatorio;60000;10;13179.581;5398084207;59997
Cycle Sort;aleatorio;60000;11;12944.163;5398282766;59999

ESTATISTICAS (descartadas as 1 primeiras repeticoes)
algoritmo;cenario;tamanho;media_tempo_ms;desvio_tempo_ms;media_comparacoes;media_trocas
Cycle Sort;crescente;20000;381.913;5.985;199990000.00;0.00
Cycle Sort;decrescente;20000;675.106;14.073;349985000.00;20000.00
Cycle Sort;aleatorio;20000;1474.861;56.987;599657351.60;19999.10
Cycle Sort;crescente;40000;1508.527;34.250;799980000.00;0.00
Cycle Sort;decrescente;40000;2656.249;22.736;1399970000.00;40000.00
Cycle Sort;aleatorio;40000;6002.826;225.858;2399183764.90;39998.10
Cycle Sort;crescente;60000;3509.247;50.867;1799970000.00;0.00
Cycle Sort;decrescente;60000;6068.290;150.353;3149955000.00;60000.00
