algoritmo;cenario;tamanho;repeticao;tempo_ms;comparacoes;trocas
Cycle Sort;crescente;20000;1;391.390;199990000;0
Cycle Sort;crescente;20000;2;387.482;199990000;0
Cycle Sort;crescente;20000;3;387.878;199990000;0
Cycle Sort;crescente;20000;4;388.163;199990000;0
Cycle Sort;crescente;20000;5;387.629;199990000;0
Cycle Sort;crescente;20000;6;389.376;199990000;0
Cycle Sort;crescente;20000;7;387.178;199990000;0
Cycle Sort;crescente;20000;8;388.016;199990000;0
Cycle Sort;crescente;20000;9;388.533;199990000;0
Cycle Sort;crescente;20000;10;387.642;199990000;0
Cycle Sort;crescente;20000;11;391.197;199990000;0
Cycle Sort;decrescente;20000;1;685.086;349985000;20000
Cycle Sort;decrescente;20000;2;701.747;349985000;20000
Cycle Sort;decrescente;20000;3;740.984;349985000;20000
Cycle Sort;decrescente;20000;4;733.166;349985000;20000
Cycle Sort;decrescente;20000;5;733.613;349985000;20000
Cycle Sort;decrescente;20000;6;794.926;349985000;20000
Cycle Sort;decrescente;20000;7;814.125;349985000;20000
Cycle Sort;decrescente;20000;8;804.787;349985000;20000
Cycle Sort;decrescente;20000;9;808.232;349985000;20000
Cycle Sort;decrescente;20000;10;798.982;349985000;20000
Cycle Sort;decrescente;20000;11;713.942;349985000;20000
Cycle Sort;aleatorio;20000;1;1632.967;599643688;19998
Cycle Sort;aleatorio;20000;2;1530.766;599699045;20000
Cycle Sort;aleatorio;20000;3;1498.838;599743637;20000
Cycle Sort;aleatorio;20000;4;1517.738;599556469;19998
Cycle Sort;aleatorio;20000;5;1533.640;599652961;19999
Cycle Sort;aleatorio;20000;6;1536.306;599500650;19999
Cycle Sort;aleatorio;20000;7;1561.996;599701839;20000
Cycle Sort;aleatorio;20000;8;1534.121;599398666;19999
Cycle Sort;aleatorio;20000;9;1479.922;599607751;19997
Cycle Sort;aleatorio;20000;10;1505.441;599557583;19998
Cycle Sort;aleatorio;20000;11;1543.151;599561109;19998
Cycle Sort;crescente;40000;1;1572.125;799980000;0
Cycle Sort;crescente;40000;2;1571.627;799980000;0
Cycle Sort;crescente;40000;3;1562.212;799980000;0
Cycle Sort;crescente;40000;4;1548.585;799980000;0
Cycle Sort;crescente;40000;5;1546.008;799980000;0
Cycle Sort;crescente;40000;6;1550.039;799980000;0
Cycle Sort;crescente;40000;7;1683.729;799980000;0
Cycle Sort;crescente;40000;8;1671.694;799980000;0
Cycle Sort;crescente;40000;9;1653.671;799980000;0
Cycle Sort;crescente;40000;10;1541.561;799980000;0
Cycle Sort;crescente;40000;11;1615.325;799980000;0
Cycle Sort;decrescente;40000;1;2904.776;1399970000;40000
Cycle Sort;decrescente;40000;2;2873.898;1399970000;40000
Cycle Sort;decrescente;40000;3;2820.977;1399970000;40000
Cycle Sort;decrescente;40000;4;2810.127;1399970000;40000
Cycle Sort;decrescente;40000;5;2773.794;1399970000;40000
Cycle Sort;decrescente;40000;6;2775.535;1399970000;40000
Cycle Sort;decrescente;40000;7;2773.066;1399970000;40000
