algoritmo;cenario;tamanho;repeticao;tempo_ms;comparacoes;trocas
Cycle Sort;crescente;20000;1;388.930;199990000;0
Cycle Sort;crescente;20000;2;386.014;199990000;0
Cycle Sort;crescente;20000;3;385.795;199990000;0
Cycle Sort;crescente;20000;4;386.115;199990000;0
Cycle Sort;crescente;20000;5;386.248;199990000;0
Cycle Sort;crescente;20000;6;396.380;199990000;0
Cycle Sort;crescente;20000;7;387.468;199990000;0
Cycle Sort;crescente;20000;8;392.176;199990000;0
Cycle Sort;crescente;20000;9;393.264;199990000;0
Cycle Sort;crescente;20000;10;386.862;199990000;0
Cycle Sort;crescente;20000;11;395.496;199990000;0
Cycle Sort;decrescente;20000;1;718.663;349985000;20000
Cycle Sort;decrescente;20000;2;721.857;349985000;20000
Cycle Sort;decrescente;20000;3;683.971;349985000;20000
Cycle Sort;decrescente;20000;4;681.689;349985000;20000
Cycle Sort;decrescente;20000;5;683.054;349985000;20000
Cycle Sort;decrescente;20000;6;683.613;349985000;20000
Cycle Sort;decrescente;20000;7;681.800;349985000;20000
Cycle Sort;decrescente;20000;8;682.555;349985000;20000
Cycle Sort;decrescente;20000;9;681.302;349985000;20000
Cycle Sort;decrescente;20000;10;681.166;349985000;20000
Cycle Sort;decrescente;20000;11;681.931;349985000;20000
Cycle Sort;aleatorio;20000;1;1629.031;599787070;20000
Cycle Sort;aleatorio;20000;2;1586.682;599674409;19996
Cycle Sort;aleatorio;20000;3;1546.455;599438640;19999
Cycle Sort;aleatorio;20000;4;1554.271;599635887;19997
Cycle Sort;aleatorio;20000;5;1574.142;599555233;19999
Cycle Sort;aleatorio;20000;6;1549.396;599688785;20000
Cycle Sort;aleatorio;20000;7;1534.714;599329606;19998
Cycle Sort;aleatorio;20000;8;1550.670;599615656;19999
Cycle Sort;aleatorio;20000;9;1576.929;599641953;19995
Cycle Sort;aleatorio;20000;10;1578.429;599593675;20000
Cycle Sort;aleatorio;20000;11;1547.740;599508769;19999
Cycle Sort;crescente;40000;1;1642.460;799980000;0
Cycle Sort;crescente;40000;2;1554.868;799980000;0
Cycle Sort;crescente;40000;3;1548.901;799980000;0
Cycle Sort;crescente;40000;4;1553.113;799980000;0
Cycle Sort;crescente;40000;5;1549.660;799980000;0
Cycle Sort;crescente;40000;6;1586.077;799980000;0
Cycle Sort;crescente;40000;7;1549.742;799980000;0
Cycle Sort;crescente;40000;8;1551.272;799980000;0
Cycle Sort;crescente;40000;9;1546.711;799980000;0
Cycle Sort;crescente;40000;10;1545.146;799980000;0
Cycle Sort;crescente;40000;11;1557.723;799980000;0
Cycle Sort;decrescente;40000;1;2820.054;1399970000;40000
Cycle Sort;decrescente;40000;2;2731.320;1399970000;40000
Cycle Sort;decrescente;40000;3;2751.307;1399970000;40000
Cycle Sort;decrescente;40000;4;2719.147;1399970000;40000
Cycle Sort;decrescente;40000;5;2724.189;1399970000;40000
Cycle Sort;decrescente;40000;6;2742.550;1399970000;40000
Cycle Sort;decrescente;40000;7;2719.674;1399970000;40000
Cycle Sort;decrescente;40000;8;2725.909;1399970000;40000
Cycle Sort;decrescente;40000;9;2724.035;1399970000;40000
Cycle Sort;decrescente;40000;10;2724.074;1399970000;40000
Cycle Sort;decrescente;40000;11;2748.327;1399970000;40000
Cycle Sort;aleatorio;40000;1;6202.557;2398794943;39998
Cycle Sort;aleatorio;40000;2;6216.476;2398821336;39998
Cycle Sort;aleatorio;40000;3;6071.670;2399133907;39997
Cycle Sort;aleatorio;40000;4;6017.387;2399259187;39999
Cycle Sort;aleatorio;40000;5;5964.386;2399269506;39999
Cycle Sort;aleatorio;40000;6;6096.118;2399013673;39999
Cycle Sort;aleatorio;40000;7;6019.586;2399056786;39997
Cycle Sort;aleatorio;40000;8;5951.920;2398941416;39998
Cycle Sort;aleatorio;40000;9;6037.354;2399223297;39998
Cycle Sort;aleatorio;40000;10;6031.317;2399455156;39999
Cycle Sort;aleatorio;40000;11;6218.674;2398670581;39998
Cycle Sort;crescente;60000;1;3543.369;1799970000;0
Cycle Sort;crescente;60000;2;3454.073;1799970000;0
Cycle Sort;crescente;60000;3;3443.738;1799970000;0
Cycle Sort;crescente;60000;4;3449.457;1799970000;0
Cycle Sort;crescente;60000;5;3452.508;1799970000;0
Cycle Sort;crescente;60000;6;3481.451;1799970000;0
Cycle Sort;crescente;60000;7;3466.246;1799970000;0
Cycle Sort;crescente;60000;8;3454.325;1799970000;0
Cycle Sort;crescente;60000;9;3481.843;1799970000;0
Cycle Sort;crescente;60000;10;3476.591;1799970000;0
Cycle Sort;crescente;60000;11;3475.710;1799970000;0
Cycle Sort;decrescente;60000;1;6221.608;3149955000;60000
Cycle Sort;decrescente;60000;2;6133.504;3149955000;60000
Cycle Sort;decrescente;60000;3;6132.020;3149955000;60000
Cycle Sort;decrescente;60000;4;6164.568;3149955000;60000
Cycle Sort;decrescente;60000;5;6084.522;3149955000;60000
Cycle Sort;decrescente;60000;6;6115.822;3149955000;60000
Cycle Sort;decrescente;60000;7;6134.462;3149955000;60000
Cycle Sort;decrescente;60000;8;6220.842;3149955000;60000
Cycle Sort;decrescente;60000;9;6137.440;3149955000;60000
Cycle Sort;decrescente;60000;10;6116.662;3149955000;60000
Cycle Sort;decrescente;60000;11;6125.218;3149955000;60000
Cycle Sort;aleatorio;60000;1;13365.739;5398981235;59996
Cycle Sort;aleatorio;60000;2;13129.591;5398727753;59998
Cycle Sort;aleatorio;60000;3;13321.955;5398426319;59999
Cycle Sort;aleatorio;60000;4;13607.737;5399005914;59999
Cycle Sort;aleatorio;60000;5;13518.148;5398434642;59999
Cycle Sort;aleatorio;60000;6;12874.340;5398222275;59998
Cycle Sort;aleatorio;60000;7;13078.788;5398595906;59999
Cycle Sort;aleatorio;60000;8;13885.807;5398167697;59999
Cycle Sort;aleatorio;60000;9;12777.432;5398738902;59999
Cycle Sort;aleatorio;60000;10;13519.425;5398250673;59996
Cycle Sort;aleatorio;60000;11;14071.945;5397974776;59998

ESTATISTICAS (descartadas as 1 primeiras repeticoes)
algoritmo;cenario;tamanho;media_tempo_ms;desvio_tempo_ms;media_comparacoes;media_trocas
Cycle Sort;crescente;20000;389.582;4.044;199990000.00;0.00
Cycle Sort;decrescente;20000;686.294;11.889;349985000.00;20000.00
Cycle Sort;aleatorio;20000;1559.943;16.564;599568261.30;19998.20
Cycle Sort;crescente;40000;1554.321;11.159;799980000.00;0.00
Cycle Sort;decrescente;40000;2731.053;11.330;1399970000.00;40000.00
Cycle Sort;aleatorio;40000;6062.489;87.550;2399084484.50;39998.20
Cycle Sort;crescente;60000;3463.594;13.668;1799970000.00;0.00
Cycle Sort;decrescente;60000;6136.506;34.038;3149955000.00;60000.00
Cycle Sort;aleatorio;60000;13378.517;400.072;5398454485.70;59998.40
