algoritmo;cenario;tamanho;repeticao;tempo_ms;comparacoes;trocas
Shell Sort;crescente;20000;1;0.567;165243;0
Shell Sort;crescente;20000;2;0.560;165243;0
Shell Sort;crescente;20000;3;0.553;165243;0
Shell Sort;crescente;20000;4;0.552;165243;0
Shell Sort;crescente;20000;5;0.587;165243;0
Shell Sort;crescente;20000;6;0.604;165243;0
Shell Sort;crescente;20000;7;0.552;165243;0
Shell Sort;crescente;20000;8;0.552;165243;0
Shell Sort;crescente;20000;9;0.553;165243;0
Shell Sort;crescente;20000;10;0.552;165243;0
Shell Sort;crescente;20000;11;0.585;165243;0
Shell Sort;decrescente;20000;1;1.284;261067;113812
Shell Sort;decrescente;20000;2;0.949;261067;113812
Shell Sort;decrescente;20000;3;0.978;261067;113812
Shell Sort;decrescente;20000;4;0.976;261067;113812
Shell Sort;decrescente;20000;5;0.946;261067;113812
Shell Sort;decrescente;20000;6;0.976;261067;113812
Shell Sort;decrescente;20000;7;0.953;261067;113812
Shell Sort;decrescente;20000;8;0.984;261067;113812
Shell Sort;decrescente;20000;9;0.920;261067;113812
Shell Sort;decrescente;20000;10;1.003;261067;113812
Shell Sort;decrescente;20000;11;0.982;261067;113812
Shell Sort;aleatorio;20000;1;3.242;532203;376635
Shell Sort;aleatorio;20000;2;3.265;529600;374039
Shell Sort;aleatorio;20000;3;3.264;565162;409503
Shell Sort;aleatorio;20000;4;2.937;529498;373794
Shell Sort;aleatorio;20000;5;3.084;561123;405556
Shell Sort;aleatorio;20000;6;2.827;525581;370035
Shell Sort;aleatorio;20000;7;2.889;543549;387933
Shell Sort;aleatorio;20000;8;3.094;556730;401133
Shell Sort;aleatorio;20000;9;3.027;561349;405678
Shell Sort;aleatorio;20000;10;3.015;583419;427799
Shell Sort;aleatorio;20000;11;3.064;595977;440324
Shell Sort;crescente;40000;1;1.514;355719;0
Shell Sort;crescente;40000;2;1.365;355719;0
Shell Sort;crescente;40000;3;1.306;355719;0
Shell Sort;crescente;40000;4;1.326;355719;0
Shell Sort;crescente;40000;5;1.240;355719;0
Shell Sort;crescente;40000;6;1.296;355719;0
Shell Sort;crescente;40000;7;1.263;355719;0
Shell Sort;crescente;40000;8;1.250;355719;0
Shell Sort;crescente;40000;9;1.297;355719;0
Shell Sort;crescente;40000;10;1.261;355719;0
Shell Sort;crescente;40000;11;1.318;355719;0
Shell Sort;decrescente;40000;1;2.007;559283;221344
Shell Sort;decrescente;40000;2;1.933;559283;221344
Shell Sort;decrescente;40000;3;2.149;559283;221344
Shell Sort;decrescente;40000;4;2.113;559283;221344
Shell Sort;decrescente;40000;5;1.951;559283;221344
Shell Sort;decrescente;40000;6;2.091;559283;221344
Shell Sort;decrescente;40000;7;1.975;559283;221344
Shell Sort;decrescente;40000;8;1.966;559283;221344
Shell Sort;decrescente;40000;9;2.154;559283;221344
Shell Sort;decrescente;40000;10;1.993;559283;221344
Shell Sort;decrescente;40000;11;1.978;559283;221344
Shell Sort;aleatorio;40000;1;6.684;1244840;905646
Shell Sort;aleatorio;40000;2;6.336;1205005;865641
Shell Sort;aleatorio;40000;3;6.670;1248955;909645
Shell Sort;aleatorio;40000;4;6.642;1304840;965620
Shell Sort;aleatorio;40000;5;6.591;1300329;961222
Shell Sort;aleatorio;40000;6;6.254;1212291;873053
Shell Sort;aleatorio;40000;7;6.477;1272123;932656
Shell Sort;aleatorio;40000;8;6.534;1289242;949869
Shell Sort;aleatorio;40000;9;6.553;1300204;960795
Shell Sort;aleatorio;40000;10;6.399;1242923;903752
Shell Sort;aleatorio;40000;11;6.508;1284781;945353
Shell Sort;crescente;60000;1;2.315;555719;0
Shell Sort;crescente;60000;2;1.931;555719;0
Shell Sort;crescente;60000;3;1.916;555719;0
Shell Sort;crescente;60000;4;1.975;555719;0
Shell Sort;crescente;60000;5;1.936;555719;0
Shell Sort;crescente;60000;6;1.924;555719;0
Shell Sort;crescente;60000;7;1.966;555719;0
Shell Sort;crescente;60000;8;1.935;555719;0
Shell Sort;crescente;60000;9;1.956;555719;0
Shell Sort;crescente;60000;10;1.939;555719;0
Shell Sort;crescente;60000;11;1.981;555719;0
Shell Sort;decrescente;60000;1;3.074;863734;361978
Shell Sort;decrescente;60000;2;3.053;863734;361978
Shell Sort;decrescente;60000;3;3.095;863734;361978
Shell Sort;decrescente;60000;4;3.103;863734;361978
Shell Sort;decrescente;60000;5;3.137;863734;361978
