algoritmo;cenario;tamanho;repeticao;tempo_ms;comparacoes;trocas
Cycle Sort;crescente;20000;1;387.150;199990000;0
Cycle Sort;crescente;20000;2;389.026;199990000;0
Cycle Sort;crescente;20000;3;387.741;199990000;0
Cycle Sort;crescente;20000;4;388.445;199990000;0
Cycle Sort;crescente;20000;5;387.516;199990000;0
Cycle Sort;crescente;20000;6;398.199;199990000;0
Cycle Sort;crescente;20000;7;403.229;199990000;0
Cycle Sort;crescente;20000;8;387.569;199990000;0
Cycle Sort;crescente;20000;9;411.090;199990000;0
Cycle Sort;crescente;20000;10;431.823;199990000;0
Cycle Sort;crescente;20000;11;387.872;199990000;0
Cycle Sort;decrescente;20000;1;707.933;349985000;20000
Cycle Sort;decrescente;20000;2;715.290;349985000;20000
Cycle Sort;decrescente;20000;3;677.710;349985000;20000
Cycle Sort;decrescente;20000;4;676.809;349985000;20000
Cycle Sort;decrescente;20000;5;676.458;349985000;20000
Cycle Sort;decrescente;20000;6;677.456;349985000;20000
Cycle Sort;decrescente;20000;7;679.857;349985000;20000
Cycle Sort;decrescente;20000;8;682.917;349985000;20000
Cycle Sort;decrescente;20000;9;680.162;349985000;20000
Cycle Sort;decrescente;20000;10;642.599;349985000;20000
Cycle Sort;decrescente;20000;11;624.273;349985000;20000
Cycle Sort;aleatorio;20000;1;1475.704;599442422;19997
Cycle Sort;aleatorio;20000;2;1441.821;599565680;19999
Cycle Sort;aleatorio;20000;3;1439.429;599557669;19997
Cycle Sort;aleatorio;20000;4;1546.695;599533424;19999
Cycle Sort;aleatorio;20000;5;1528.945;599774797;19999
Cycle Sort;aleatorio;20000;6;1509.582;599570382;19998
Cycle Sort;aleatorio;20000;7;1507.241;599591119;19998
Cycle Sort;aleatorio;20000;8;1550.732;599765604;19999
Cycle Sort;aleatorio;20000;9;1499.205;599519969;19995
Cycle Sort;aleatorio;20000;10;1494.284;599750038;19999
Cycle Sort;aleatorio;20000;11;1541.231;599620729;20000
Cycle Sort;crescente;40000;1;1624.396;799980000;0
Cycle Sort;crescente;40000;2;1534.580;799980000;0
Cycle Sort;crescente;40000;3;1531.632;799980000;0
Cycle Sort;crescente;40000;4;1535.503;799980000;0
Cycle Sort;crescente;40000;5;1542.299;799980000;0
Cycle Sort;crescente;40000;6;1544.637;799980000;0
Cycle Sort;crescente;40000;7;1544.014;799980000;0
Cycle Sort;crescente;40000;8;1545.563;799980000;0
Cycle Sort;crescente;40000;9;1542.187;799980000;0
Cycle Sort;crescente;40000;10;1456.283;799980000;0
Cycle Sort;crescente;40000;11;1441.190;799980000;0
Cycle Sort;decrescente;40000;1;2572.878;1399970000;40000
Cycle Sort;decrescente;40000;2;2602.042;1399970000;40000
Cycle Sort;decrescente;40000;3;2676.095;1399970000;40000
Cycle Sort;decrescente;40000;4;2674.964;1399970000;40000
Cycle Sort;decrescente;40000;5;2680.912;1399970000;40000
Cycle Sort;decrescente;40000;6;2707.641;1399970000;40000
Cycle Sort;decrescente;40000;7;2702.531;1399970000;40000
Cycle Sort;decrescente;40000;8;2739.027;1399970000;40000
Cycle Sort;decrescente;40000;9;2714.908;1399970000;40000
Cycle Sort;decrescente;40000;10;2714.833;1399970000;40000
Cycle Sort;decrescente;40000;11;2725.381;1399970000;40000
Cycle Sort;aleatorio;40000;1;5621.300;2399417272;40000
Cycle Sort;aleatorio;40000;2;5832.565;2399369661;39999
Cycle Sort;aleatorio;40000;3;5923.638;2399081493;39999
Cycle Sort;aleatorio;40000;4;5848.974;2399355971;39995
Cycle Sort;aleatorio;40000;5;5941.500;2399242968;40000
Cycle Sort;aleatorio;40000;6;5902.759;2398887319;39998
Cycle Sort;aleatorio;40000;7;5889.413;2399284785;39998
Cycle Sort;aleatorio;40000;8;6132.397;2398507576;39998
Cycle Sort;aleatorio;40000;9;6052.095;2399530148;39999
Cycle Sort;aleatorio;40000;10;6120.230;2399074441;39996
